17/9/2026, 2:47:51 p. m. | Complemento | SURA1789674468MX
17/9/2026, 2:57:24 p. m. | Reconsideración | SURA1789675041MX
17/9/2026, 2:59:16 p. m. | Reconsideración | SURA1789675153MX
17/9/2026, 3:21:34 p. m. | Complemento | SURA1789676491MX
17/9/2026, 3:21:36 p. m. | Reconsideración | SURA1234567890MX
17/9/2026, 3:24:34 p. m. | Complemento | SURA1234567890MX
17/9/2026, 3:24:34 p. m. | Reconsideración | SURA1234567890MX
17/9/2026, 3:25:56 p. m. | Complemento | SURA1789676753MX
17/9/2026, 3:33:39 p. m. | Complemento | SURA1789677217MX
18/9/2026, 4:00:27 p. m. | Complemento | SURA1234567890MX
18/9/2026, 4:01:13 p. m. | Reconsideración | SURA1789765270MX
21/9/2026, 5:10:18 p. m. | Nueva Solicitud | SURA1790028618MX
21/9/2026, 5:56:28 p. m. | Nueva Solicitud | SURA1790031388MX
21/9/2026, 5:57:36 p. m. | Nueva Solicitud | SURA1790031457MX
23/9/2026, 9:51:59 a. m. | Complemento | SURA1790175119MX
23/9/2026, 9:54:16 a. m. | Reconsideración | SURA1790175256MX
